date,Open,High,Low,Close,Volume
2021-10-29,288.81,290.0,286.74,287.01,4421265.0
2021-11-01,288.05,288.42,285.62,286.24,2760895.0
2021-11-02,286.61,288.5,285.22,287.93,3832316.0
2021-11-03,287.21,288.88,286.13,288.72,2775591.0
2021-11-04,289.13,289.13,285.25,287.69,3427470.0
2021-11-05,288.83,290.7,286.82,287.88,3584224.0
2021-11-08,290.0,295.65,288.61,288.8,4723236.0
2021-11-09,288.79,288.99,285.3,286.35,3580352.0
2021-11-10,286.49,287.24,284.52,285.32,3422235.0
2021-11-11,286.5,287.07,284.245,284.65,2861553.0
2021-11-12,284.88,286.1,283.8,285.99,2826046.0
2021-11-15,286.6,286.99,284.24,284.67,3219074.0
2021-11-16,284.47,285.16,283.12,283.36,4260345.0
2021-11-17,283.12,283.12,280.9,281.59,3741007.0
2021-11-18,281.1,281.75,279.25,280.63,3338256.0
2021-11-19,280.96,280.97,278.01,279.99,4542009.0
2021-11-22,280.73,286.44,280.01,284.97,5036934.0
2021-11-23,285.15,288.73,285.05,288.56,4490739.0
2021-11-24,287.44,288.315,286.09,287.28,4924413.0
2021-11-26,280.28,284.71,279.76,283.09,4440721.0
2021-11-29,284.0,284.98,281.42,282.12,5392385.0
2021-11-30,279.94,280.2,275.89,276.69,9928918.0
2021-12-01,279.54,281.72,274.79,275.0,5171164.0
2021-12-02,276.68,280.37,275.29,279.09,4925721.0
2021-12-03,278.71,279.97,275.27,277.43,5925715.0
2021-12-06,278.73,283.1678,278.73,281.38,5526940.0
2021-12-07,282.42,285.41,282.12,284.97,5767826.0
2021-12-08,284.97,285.97,282.28,283.72,3257877.0
2021-12-09,283.77,284.95,281.78,284.52,3446249.0
2021-12-10,285.49,288.5,284.23,288.23,4110315.0
2021-12-13,288.5,291.58,285.84,290.01,4888424.0
2021-12-14,289.67,296.41,289.67,295.03,5994765.0
2021-12-15,295.8199,296.5,292.8133,294.58,5603061.0
2021-12-16,296.88,301.58,295.1,300.17,6542554.0
2021-12-17,297.85,298.0,292.3501,293.66,12772057.0
2021-12-20,290.775,291.58,287.59,289.61,5458419.0
2021-12-21,292.14,295.41,291.5,293.24,3931134.0
2021-12-22,292.86,294.57,291.74,294.41,2446396.0
2021-12-23,295.22,296.78,294.21,294.49,2899917.0
2021-12-27,295.25,296.69,294.46,296.67,2807616.0
2021-12-28,296.96,299.79,296.8,298.29,2575075.0
2021-12-29,299.23,300.65,298.86,299.46,2688431.0
2021-12-30,300.88,301.6463,299.74,299.98,2301253.0
2021-12-31,299.94,300.69,298.84,299.0,2919756.0
2022-01-03,300.1,301.3,299.2,300.79,3571121.0
2022-01-04,301.65,309.21,301.65,308.53,6006382.0
2022-01-05,309.87,314.48,309.5,309.92,6892257.0
2022-01-06,312.98,314.11,310.22,313.22,5140613.0
2022-01-07,315.56,320.2,314.14,319.78,5622909.0
2022-01-10,321.4,322.1,315.12,318.93,5814171.0
2022-01-11,318.61,320.0,315.04,319.8,4070086.0
2022-01-12,320.62,321.05,317.26,320.39,3583291.0
2022-01-13,321.0,323.47,320.1,321.26,4279387.0
2022-01-14,318.87,324.405,316.5,324.13,4915639.0
2022-01-18,322.22,323.29,318.07,320.29,5257535.0
2022-01-19,321.35,321.35,314.58,314.75,5397670.0
2022-01-20,315.58,317.18,310.68,311.01,4409303.0
2022-01-21,309.99,311.02,304.14,305.22,6541385.0
2022-01-24,299.7,304.73,296.085,303.73,8529685.0
2022-01-25,301.87,309.13,294.81,307.19,6438259.0
2022-01-26,310.4,313.33,306.57,309.26,6127231.0
2022-01-27,311.7,315.92,305.3111,307.67,5055361.0
2022-01-28,307.68,313.29,304.0681,312.9,5241647.0
2022-01-31,312.0,313.3,307.84,313.02,5238867.0
2022-02-01,312.64,314.6,310.31,313.96,4348803.0
2022-02-02,313.57,320.1604,313.0,319.6,4634781.0
2022-02-03,319.33,319.65,314.61,315.23,4152449.0
2022-02-04,315.87,317.8387,312.7,314.99,3656465.0
2022-02-07,314.91,318.22,312.06,316.51,3129336.0
2022-02-08,318.27,322.65,316.0,321.44,6238744.0
2022-02-09,323.8,325.63,321.54,322.38,3997452.0
2022-02-10,320.99,322.46,318.485,319.85,7081291.0
2022-02-11,320.01,323.12,317.74,319.14,7497359.0
2022-02-14,319.61,320.43,312.17,314.28,8131182.0
2022-02-15,316.64,317.9399,314.6901,316.2,3682373.0
2022-02-16,315.0,316.9,314.28,315.65,3975085.0
2022-02-17,314.98,315.44,312.3,313.55,3633337.0
2022-02-18,313.83,315.6767,313.08,314.8,4225597.0
2022-02-22,313.44,315.43,310.55,314.16,4760941.0
2022-02-23,316.081,316.8,309.38,309.99,5033311.0
2022-02-24,301.78,308.81,299.51,308.28,8836304.0
2022-02-25,311.16,321.43,310.78,319.24,7488725.0
2022-02-28,317.35,322.0,315.19,321.45,7988324.0
2022-03-01,320.26,321.2,313.59,316.84,6444105.0
2022-03-02,319.48,325.75,318.12,323.64,4507185.0
2022-03-03,326.63,329.47,323.8852,327.74,4602678.0
2022-03-04,322.66,325.61,320.12,325.34,4906040.0
2022-03-07,325.68,326.44,320.35,322.72,5879300.0
2022-03-08,325.3,327.29,318.03,318.52,7911576.0
2022-03-09,326.59,327.47,322.575,325.4,5879917.0
2022-03-10,322.49,325.7,321.58,325.3,3845454.0
2022-03-11,326.53,331.4899,326.23,326.6,5137990.0
2022-03-14,328.65,333.48,327.6498,329.98,5968947.0
2022-03-15,332.7,334.58,329.38,332.55,6931564.0
2022-03-16,335.11,337.34,331.7117,336.11,5929896.0
2022-03-17,337.0,345.13,336.2,344.97,7226002.0
2022-03-18,344.12,346.87,339.27,342.41,8737590.0
2022-03-21,344.99,351.21,344.3,349.66,6179839.0
2022-03-22,351.01,354.95,348.9,349.93,5732409.0
2022-03-23,349.13,350.79,346.2473,348.16,5644792.0
2022-03-24,351.5,352.5694,349.13,352.37,3947297.0
2022-03-25,353.9,359.01,353.6,358.76,4378945.0
2022-03-28,360.59,361.38,355.53,359.57,4175531.0
2022-03-29,361.39,362.1,352.55,355.12,5006916.0
2022-03-30,354.66,357.85,351.84,357.61,3913799.0
2022-03-31,359.0,360.0,352.32,352.91,6069877.0
2022-04-01,353.65,354.5824,349.02,351.88,4126275.0
2022-04-04,352.0,352.235,344.31,345.43,5105149.0
2022-04-05,345.77,349.44,344.28,344.8,4220073.0
2022-04-06,341.17,346.97,340.55,344.71,4548141.0
2022-04-07,346.22,347.67,342.4,346.51,3817645.0
2022-04-08,348.93,353.85,347.73,353.1,4495358.0
2022-04-11,352.98,354.33,349.34,352.02,3129900.0
2022-04-12,352.26,354.0,348.39,349.74,3550367.0
2022-04-13,349.46,350.72,345.245,346.22,3436791.0
2022-04-14,346.16,347.56,344.14,344.33,3285526.0
2022-04-18,344.45,347.1899,343.585,346.65,2518356.0
2022-04-19,347.0,349.13,345.85,348.5,3393483.0
2022-04-20,350.0,350.59,347.7,348.82,2920394.0
2022-04-21,350.86,350.86,342.96,343.6,4034682.0
2022-04-22,342.94,343.21,335.11,335.56,4971203.0
2022-04-25,332.3,337.85,328.53,336.95,5981550.0
2022-04-26,333.53,337.39,330.36,330.65,4380569.0
2022-04-27,330.6,333.135,328.43,329.58,3727514.0
2022-04-28,331.53,332.06,327.83,331.27,3847727.0
2022-04-29,330.19,330.64,320.5,322.83,5688391.0
2022-05-02,324.11,324.37,311.74,318.19,6799512.0
2022-05-03,319.42,323.58,317.67,318.99,3875789.0
2022-05-04,319.1,327.28,318.0,326.8,4225689.0
2022-05-05,325.85,325.85,315.16,318.68,5265994.0
2022-05-06,317.99,320.372,314.19,318.88,4200043.0
2022-05-09,315.35,316.92,311.56,312.96,4884887.0
2022-05-10,315.96,318.11,310.24,312.53,4801061.0
2022-05-11,313.17,317.55,311.01,311.54,4258661.0
2022-05-12,307.95,309.07,302.55,308.06,5683356.0
2022-05-13,311.25,312.47,307.9001,310.36,3771567.0
2022-05-16,310.28,311.95,307.13,309.29,3700581.0
2022-05-17,315.21,315.44,312.1,314.6,4159134.0
2022-05-18,312.94,314.17,305.57,306.64,4427683.0
2022-05-19,303.93,306.3144,301.21,304.15,4743746.0
2022-05-20,307.05,307.46,298.11,304.05,5522056.0
2022-05-23,307.38,312.44,306.62,310.2,4146033.0
2022-05-24,309.39,310.31,303.75,309.17,3661630.0
2022-05-25,308.59,310.99,305.92,308.64,3706343.0
2022-05-26,311.27,314.39,310.98,312.5,4474454.0
2022-05-27,314.73,319.24,314.15,319.11,4282883.0
2022-05-31,318.98,318.98,314.8,315.98,5704635.0
2022-06-01,316.0,316.7901,309.61,312.21,3796508.0
2022-06-02,312.65,315.09,308.61,314.95,3120233.0
2022-06-03,312.5,313.8,310.3977,310.94,2588108.0
2022-06-06,313.38,315.78,311.48,312.15,2981314.0
2022-06-07,310.58,313.79,309.3932,313.65,2551711.0
2022-06-08,312.16,312.8,307.93,308.74,2878967.0
2022-06-09,308.1,308.38,300.57,300.8,3221154.0
2022-06-10,296.08,298.0,291.61,291.71,5884900.0
2022-06-13,285.43,287.4347,280.1,281.56,7115907.0
2022-06-14,282.09,283.96,276.1014,277.64,5850444.0
2022-06-15,281.16,282.5,273.87,278.93,5827037.0
